identifier,normalizedIdentifier,lookupType,resolvedUuid,resolvedUsername,stars,nicked,cacheSource,cacheHit,revalidated,installId,responseStatus,latencyMs,requestedAt
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,612,false,cache,true,false,,200,0,2026-03-13T16:11:00.500Z
159c7b5712fc4534917b419cc2952836,159c7b5712fc4534917b419cc2952836,uuid,159c7b5712fc4534917b419cc2952836,sekimia,4,false,cache,true,false,,200,0,2026-03-13T16:11:00.500Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,612,false,cache,true,false,,200,0,2026-03-13T16:10:45.500Z
159c7b5712fc4534917b419cc2952836,159c7b5712fc4534917b419cc2952836,uuid,159c7b5712fc4534917b419cc2952836,sekimia,4,false,cache,true,false,,200,0,2026-03-13T16:10:40.499Z
4d817cc7800b497ea821e55e0e2d214a,4d817cc7800b497ea821e55e0e2d214a,uuid,4d817cc7800b497ea821e55e0e2d214a,TeRiola,41,false,network,false,false,,200,150,2026-03-13T16:10:15.499Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,612,false,cache,true,false,,200,0,2026-03-13T16:10:15.499Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,612,false,cache,true,false,,200,0,2026-03-13T16:09:54.990Z
5d391c95fa6a4f80a5b5f1f657b5098a,5d391c95fa6a4f80a5b5f1f657b5098a,uuid,5d391c95fa6a4f80a5b5f1f657b5098a,Cimpiu,646,false,cache,true,false,,200,0,2026-03-13T16:09:54.990Z
e92407ea8878404ea6b5a84d7881d5b2,e92407ea8878404ea6b5a84d7881d5b2,uuid,e92407ea8878404ea6b5a84d7881d5b2,r4kz,612,false,cache,true,false,,200,0,2026-03-13T16:09:34.990Z
ff5a22ce38a6488f8fc7580bd6975736,ff5a22ce38a6488f8fc7580bd6975736,uuid,ff5a22ce38a6488f8fc7580bd6975736,Lilenrs,43,false,network,false,false,,200,91,2026-03-13T16:09:34.990Z
bd4ef851fda8261498ca3193dc49b711,bd4ef851fda8261498ca3193dc49b711,uuid,bd4ef851fda8261498ca3193dc49b711,(nicked),,true,network,false,false,,200,155,2026-03-13T16:09:24.990Z
6c3f2ae0b7502301b19398ab2f3dd79a,6c3f2ae0b7502301b19398ab2f3dd79a,uuid,6c3f2ae0b7502301b19398ab2f3dd79a,(nicked),,true,network,false,false,,200,157,2026-03-13T16:09:24.990Z
